id,maps,nama_lapak,deskripsi,nama_penjual,kontak_penjual,harga,luas_bangunan,alamat,kota,kecamatan,url_thumbnail,label
1,https://www.google.com/maps/place/Fakultas+Kopi+Jakarta/data=!4m7!3m6!1s0x2e69f404f476b09d:0xad1e2ce92f97ab00!8m2!3d-6.2118378!4d106.828466!16s%2Fg%2F11df3mdnv0!19sChIJnbB29AT0aS4RAKuXL-ksHq0?authuser=0&hl=en&rclk=1,Fakultas Kopi Jakarta,sdgdfgd,Charles,085846874354,228911,71,"Jl. Karet Karya VII No.7, RW.7",Jakarta Selatan,Tebet,https://apollo-singapore.akamaized.net/v1/files/vxk9aez6o4vy1-ID/image;s=780x0;q=60,usaha_makanan
2,https://www.google.com/maps/place/Anomali+Coffee+-+Senopati/data=!4m7!3m6!1s0x2e69f15b0756b151:0x8712710a5ee786cf!8m2!3d-6.2305437!4d106.8080776!16s%2Fg%2F1tf8j37j!19sChIJUbFWB1vxaS4Rz4bnXgpxEoc?authuser=0&hl=en&rclk=1,Anomali Coffee - Senopati,dasdasda,Alex,08521645264,683980,34,"Jl. Senopati No.19, RW.3",Jakarta Selatan,Tebet,https://apollo-singapore.akamaized.net/v1/files/heuyp9pgglkh-ID/image;s=780x0;q=60,usaha_fotocopy
3,https://www.google.com/maps/place/Toko+Kopi+Tuku+-+Cipete/data=!4m7!3m6!1s0x2e69f1929f4500cf:0x8872c874bb0035ef!8m2!3d-6.2775754!4d106.8014966!16s%2Fg%2F11bwgfklkq!19sChIJzwBFn5LxaS4R7zUAu3TIcog?authuser=0&hl=en&rclk=1,Toko Kopi Tuku - Cipete,dasdasda,Budi,081245658742,4565042,54,"Jl. Cipete Raya B No.7, RT.6/RW.3",Jakarta Selatan,Pancoran,https://apollo-singapore.akamaized.net/v1/files/0919qtw6ecm31-ID/image;s=780x0;q=60,usaha_baju
4,https://www.google.com/maps/place/Sallo+Coffee/data=!4m7!3m6!1s0x2e69f39a5568be19:0x323a8e9c42509a0e!8m2!3d-6.2391453!4d106.8531853!16s%2Fg%2F11cmtbtmz9!19sChIJGb5oVZrzaS4RDppQQpyOOjI?authuser=0&hl=en&rclk=1,Sallo Coffee,bsbsbsbs,Alex,08136458745,8884103,64,"1, Jl. Tebet Timur Raya No.43, RT.5/RW.10",Jakarta Selatan,Kebayoran Baru,https://apollo-singapore.akamaized.net/v1/files/3w5mhoydo0862-ID/image;s=780x0;q=60,usaha_laundry
5,https://www.google.com/maps/place/Kopikina+Coffee/data=!4m7!3m6!1s0x2e69f3f6f5069503:0x5ddceeb9e9a735b3!8m2!3d-6.2393032!4d106.8562326!16s%2Fg%2F11c3k6fp7p!19sChIJA5UG9fbzaS4RszWn6bnu3F0?authuser=0&hl=en&rclk=1,Kopikina Coffee,bsbsbsbs,Doni,08521645264,7686978,149,"Jl. Tebet Timur Dalam Raya No.43, RT.1/RW.8",Jakarta Selatan,Kebayoran Baru,https://picture.rumah123.com/r123-images/720x420-crop/customer/1712616/2022-12-21-13-00-21-82363c82-c9ea-4b86-8aef-2abc4dcf6674.jpg,usaha_fotocopy
6,https://www.google.com/maps/place/Pison+Jakarta/data=!4m7!3m6!1s0x2e69f15c026b141f:0xa7f64e78df23723a!8m2!3d-6.2336553!4d106.8118554!16s%2Fg%2F11dztjmf6w!19sChIJHxRrAlzxaS4ROnIj33hO9qc?authuser=0&hl=en&rclk=1,Pison Jakarta,bsbsbsbs,Charles,085846874354,275880,137,Jl. Kertanegara Jl. Senopati No.70,Jakarta Selatan,Kebayoran Baru,https://picture.rumah123.com/r123-images/720x420-crop/customer/771750/2023-05-27-01-00-28-6a52deff-6024-4fae-8f06-a9bd490dc7e8.jpg,usaha_fotocopy
7,https://www.google.com/maps/place/Crematology+x+Senopati/data=!4m7!3m6!1s0x2e69f15ef6689731:0xe4f7f3346ab46e5f!8m2!3d-6.2353933!4d106.8138413!16s%2Fg%2F1yh9sqb9r!19sChIJMZdo9l7xaS4RX260ajTz9-Q?authuser=0&hl=en&rclk=1,Crematology x Senopati,bsbsbsbs,Charles,08136458745,3772462,61,"Jl. Suryo No.25, RT.3/RW.6",Jakarta Selatan,Pancoran,https://picture.rumah123.com/r123/1080x720-fit/commercial/co29/2993851/original/shr2993851-ruko-di-sewa-di-tebet-di-jakarta-selatan-16324537244097.jpg,usaha_laundry
8,https://www.google.com/maps/place/First+Crack+Coffee/data=!4m7!3m6!1s0x2e69f1076e78f19f:0xf97da87c79406d61!8m2!3d-6.2371902!4d106.7900669!16s%2Fg%2F11h1kds1qg!19sChIJn_F4bgfxaS4RYW1AeXyoffk?authuser=0&hl=en&rclk=1,First Crack Coffee,dasdasda,Doni,081245658742,1572063,30,"Jl. Bumi No.10, RT.2/RW.3",Jakarta Selatan,Pancoran,https://picture.rumah123.com/r123/720x420-crop/commercial/co31/3114461/original/shr3114461-ruko-di-sewa-di-tebet-di-jakarta-selatan-16460508165427.jpg,usaha_makanan
9,https://www.google.com/maps/place/ST+ALi+-+Jakarta/data=!4m7!3m6!1s0x2e69f3eef6a3202d:0x9b5282f1e98b950a!8m2!3d-6.2159999!4d106.8300667!16s%2Fg%2F11cllq390c!19sChIJLSCj9u7zaS4RCpWL6fGCUps?authuser=0&hl=en&rclk=1,ST ALi - Jakarta,dasdasda,Budi,085846874354,9506400,140,"Setiabudi Building 2 Lt. Dasar No.103A Jalan Haji R. Rasuna Said No.kav 62 RT.6/RW.7 Kuningan, RT.6/RW.7",Jakarta Selatan,Tebet,https://picture.rumah123.com/r123/720x420-crop/commercial/co31/3157321/original/shr3157321-ruko-di-sewa-di-tebet-di-jakarta-selatan-16506024961253.jpg,toko_kopi
10,https://www.google.com/maps/place/Kopi+Nalar/data=!4m7!3m6!1s0x2e69f166697d2ac9:0x873a8f2028cacb4e!8m2!3d-6.242093!4d106.8079145!16s%2Fg%2F11c7t0wb_3!19sChIJySp9aWbxaS4RTsvKKCCPOoc?authuser=0&hl=en&rclk=1,Kopi Nalar,bsbsbsbs,Alex,08521645264,2558371,109,"14, Jl. Prof. Joko Sutono SH No.7, RT.14/RW.6",Jakarta Selatan,Kebayoran Baru,https://static-id.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/1c3e224b789305.webp,usaha_laundry
11,https://www.google.com/maps/place/Toko+Kopi+TUKU+%28Go-Food+Only%29/data=!4m7!3m6!1s0x2e69f184fcba615f:0xfb93a7ca2fda8078!8m2!3d-6.2661937!4d106.8083377!16s%2Fg%2F11fz_bd2ll!19sChIJX2G6_ITxaS4ReIDaL8qnk_s?authuser=0&hl=en&rclk=1,Toko Kopi TUKU (Go-Food Only),sdgdfgd,Budi,08521645264,2755027,74,"Jl. Abdul Majid Raya No.26, RT.7/RW.2",Jakarta Selatan,Pancoran,https://static-id.lamudi.com/static/media/bm9uZS9ub25l/2x2x5x880x450/7d0251f45a38d9.webp,usaha_makanan
12,https://www.google.com/maps/place/Anomali+Coffee+Setiabudi/data=!4m7!3m6!1s0x2e69f40870d181a1:0xcb330100e8950555!8m2!3d-6.2157341!4d106.8302624!16s%2Fg%2F1thzy9hy!19sChIJoYHRcAj0aS4RVQWV6AABM8s?authuser=0&hl=en&rclk=1,Anomali Coffee Setiabudi,dasdasda,Doni,08136458745,1773473,35,"Setiabudi One, Jl. HR Rasuna Said No.62, RT.18/RW.2",Jakarta Selatan,Pancoran,https://apollo-singapore.akamaized.net/v1/files/vxk9aez6o4vy1-ID/image;s=780x0;q=61,toko_kopi
13,https://www.google.com/maps/place/Toko+Kopi+Seduh+-+Jagakarsa+%28Forest+View%29/data=!4m7!3m6!1s0x2e69ef1abe7cb743:0x2d83d0d8a5b79472!8m2!3d-6.3218351!4d106.8140452!16s%2Fg%2F11hzwh5hyj!19sChIJQ7d8vhrvaS4RcpS3pdjQgy0?authuser=0&hl=en&rclk=1,Toko Kopi Seduh - Jagakarsa (Forest View),dasdasda,Doni,08136458745,1783061,97,"4, Jl. Durian No.15",Jakarta Selatan,Kebayoran Baru,https://apollo-singapore.akamaized.net/v1/files/heuyp9pgglkh-ID/image;s=780x0;q=61,usaha_laundry
